web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681669034-1686","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante Bluetooth Soundlink Micro Blanco","https://www.ktronix.com/parlante-bluetooth-soundlink-micro-blanco/p/017817836111","","Parlante Bluetooth Soundlink Micro Blanco","$699.900
                                            Hoy","Protegido contra: agua, polvo y temperaturas extremas(IP67)","5.0","15 Opiniones","/medias/017817836111-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNDI1fGltYWdlL2pwZWd8aW1hZ2VzL2hmOC9oMWEvMTIzNDQ5MjE3MTg4MTQuanBnfGFkNjJhMTdmNzg1NmQ3ZGNhNjU4ZGEyMzFhODgxOTQxMjcyNjdmY2UzMzJjNzI2ZWEzOWQ5OGJmNGI0NDU4OTE"
"1681669039-1687","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante ULTIMATE EARS Inalámbrico Bluetooth Boom 3 Negro","https://www.ktronix.com/parlante-ultimate-ears-inalambrico-bluetooth-boom-3-negro/p/097855141026","","Parlante ULTIMATE EARS Inalámbrico Bluetooth Boom 3 Negro","$879.900
                                            Hoy","Conectividad Bluetooth, transmite música desde tu teléfono","5.0","4 Opiniones","/medias/097855141026-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNjk2fGltYWdlL2pwZWd8aW1hZ2VzL2g2YS9oNWQvOTY1MzAzNTAwODAzMC5qcGd8Y2M5NzUyYWJkNzc2NTk3OWFmOGU5ZDdjNDEyMDk5NDAwMTc2YzY5OGE1OWNjNmU0NTE5MTA3YzhjYjVlOGM3NA"
"1681669043-1688","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlantes SONY SA-RS3S Negro","https://www.ktronix.com/parlantes-sony-sa-rs3s-negro/p/4548736109933","","Parlantes SONY SA-RS3S Negro","$1.399.900
                                            Hoy","Menos cables con la conexión inalámbrica a la barra","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4548736109933-001.jpg?context=bWFzdGVyfGltYWdlc3wxODY2fGltYWdlL2pwZWd8aDE0L2hiMS8xMzczNzg4ODc0MzQ1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ1NDg3MzYxMDk5MzNfMDAxLmpwZ3xmZmUzMjY1MjYwNWIyY2MyMmQ3NDQ2YWZhNDQxMDQ3ZmJlMDE3OGViOGJiZGRmMjI4YzY3YTUxMTZiNzJlNzY1"
"1681669047-1689","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Subwoofer SONY SA-SW3 Negro","https://www.ktronix.com/subwoofer-sony-sa-sw3-negro/p/4548736110106","","Subwoofer SONY SA-SW3 Negro","$1.399.900
                                            Hoy","Menos cables con la conexión inalámbrica a la barra","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4548736110106-001.jpg?context=bWFzdGVyfGltYWdlc3wxMzI4fGltYWdlL2pwZWd8aGE5L2gwMy8xMzczNzg5MzQ2MjA0Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ1NDg3MzYxMTAxMDZfMDAxLmpwZ3wwMzczNzI1Y2MzYzU1YjY0MTBmNGY3YzUyYzE2NzlmYTBjNGY1YjgyODRjMzBhMjRlMTBlYjFiM2Q1ZTEwZWI0"
"1681669052-1690","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlantes SONY SA-RS5 Negro","https://www.ktronix.com/parlantes-sony-sa-rs5-negro/p/4548736134621","","Parlantes SONY SA-RS5 Negro","$2.499.900
                                            Hoy","Menos cables con la conexión inalámbrica a la barra","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4548736134621-001.jpg?context=bWFzdGVyfGltYWdlc3wyMDUxfGltYWdlL2pwZWd8aDgzL2g4OC8xMzczNzkwNzAyNzk5OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ1NDg3MzYxMzQ2MjFfMDAxLmpwZ3xjNjhhOTc0MDUyNTNjOWIzZTM1Y2NhYmUyNTdiOWJmYWRhMzkzZjhmN2FlNjlhZmEyMmQ0YWFhNDNlNTUxNjVk"
"1681669056-1691","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante PHILIPS Inalámbrico Bluetooth TAS3505 5W Gris","https://www.ktronix.com/parlante-philips-inalambrico-bluetooth-tas3505-5w-gris/p/4895229108691","","Parlante PHILIPS Inalámbrico Bluetooth TAS3505 5W Gris","$379.900
                                            Hoy","Resistencia al agua IPX7","5.0","4 Opiniones","/medias/4895229108691-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxOTM4fGltYWdlL2pwZWd8aW1hZ2VzL2hkYS9oZmUvMTE0NzU4MDE4MDA3MzQuanBnfDcxMTM4MDQ5ZDkxYmE2NDA3M2E4NjZjZDliNTgwYmE2NGIyYmQyMzQzZjU2ODE3MGNlMzNjYzhlZWJlZDUwNTA"
"1681669060-1692","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante PHILIPS Inalámbrico Bluetooth TAS1505 2.5W Negro","https://www.ktronix.com/parlante-philips-inalambrico-bluetooth-tas1505-25w-negro/p/4895229111011","","Parlante PHILIPS Inalámbrico Bluetooth TAS1505 2.5W Negro","$162.900
                                            Hoy","Resistencia al agua IPX7","4.8","16 Opiniones","/medias/4895229111011-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMTgyfGltYWdlL2pwZWd8aW1hZ2VzL2hmZC9oNWQvMTE0NzU4MjYzNzY3MzQuanBnfDZjM2E2NTAwMjBmMGQ5ZjAyMzcwYjNiYjk2MTE3NmYyODU5YjBjNmFlY2Q0YTNiMmIxNmUzOTA3MzljYWYwNDU"
"1681669065-1693","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante PHILIPS Inalámbrico Bluetooth TAS1505 2.5W Blanco","https://www.ktronix.com/parlante-philips-inalambrico-bluetooth-tas1505-25w-blanco/p/4895229111035","","Parlante PHILIPS Inalámbrico Bluetooth TAS1505 2.5W Blanco","$162.900
                                            Hoy","Resistencia al agua IPX7","4.8","16 Opiniones","/medias/4895229111035-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMjIzfGltYWdlL2pwZWd8aW1hZ2VzL2gwYy9oMTUvMTE0NzU4MzEzNTc0NzAuanBnfGM0MTE0Y2IzMjI2NjE4NmRiNDAwNTczNGEwMTBjZjUyNDM5ZDJiYjA4YjYwZTgyYTBiN2ZhNTkwNTYzYTRmMzI"
"1681669069-1694","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlantes YAMAHA NS-6490 Negro","https://www.ktronix.com/parlantes-yamaha-ns-6490-negro/p/4957812054621","","Parlantes YAMAHA NS-6490 Negro","$759.900
                                            Hoy","90 dB's para un volumen alto con poca potencia.","4.9","9 Opiniones","/medias/4957812054621-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL2pwZWd8aW1hZ2VzL2g0OC9oMzYvOTczNDk5ODg1MTYxNC5qcGd8ZGUwN2FmYWJhMTc1YmMzNDY2Mzg4YzcyMDY3Y2YxMzJmYjA0OGEwMjM0OGEzNGJiMTQwYjY0NDZiNmM3Y2Q3Yg"
"1681669073-1695","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlantes de Techo YAMAHA NS-IC600 Blanco","https://www.ktronix.com/parlantes-techo-yamaha-ns-ic600-blanco/p/4957812486255","","Parlantes de Techo YAMAHA NS-IC600 Blanco","$749.900
                                            Hoy","Tweeter cúpula blanda: alta frecuencia pura y sonido preciso","5.0","2 Opiniones","/medias/4957812486255-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzgwfGltYWdlL2pwZWd8aW1hZ2VzL2hkNC9oMTQvOTU4MTQ0NTQ4MDQ3OC5qcGd8YjljZDg4N2Q0MGFmOTUwMGVlYTliNmQwNDEzMmQ4ZDdhMTA1MTc4ODdiNzQ2NWQ1MjU4ODJjMWZiZjk1ODk1NQ"
