web-scraper-order,web-scraper-start-url,referencia,referencia-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681670390-1890","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Canon EOS R con lente 24-105mm f/4 L IS USM","https://www.ktronix.com/camara-canon-eos-r-con-lente-24-105mm-f-4-l-is-usm/p/013803306354","Cámara Canon EOS R con lente 24-105mm f/4 L IS USM","$13.999.000
                                            Hoy","4K Envía metraje de vídeo 4K en 10 bits a través de HDMI","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-013803306354-001.jpg?context=bWFzdGVyfGltYWdlc3wyNjgwfGltYWdlL2pwZWd8aGZjL2hlYy8xMzYzNDY4MzI3MzI0Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzAxMzgwMzMwNjM1NF8wMDEuanBnfDU4ODRiNDRkMGNmOTg0YjQ4ODUyMTc1Yzg1YzA3MjUzNGFkZTI1YzQxYjEzYjk4ZTQ3ZWIxOTNjMWI3ZjlkZTE"
"1681670395-1891","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Fotográfica Profesional CANON EOS M6MKII - 15-45 Negra","https://www.ktronix.com/camara-fotografica-profesional-canon-eos-m6mkii-15-45-negra/p/013803315264","Cámara Fotográfica Profesional CANON EOS M6MKII - 15-45 Negra","$6.599.900
                                            Hoy","Captura hasta 14 FPS o con disparo ráfaga RAW a 30 FPS","null","null","/medias/013803315264-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNzQ0fGltYWdlL2pwZWd8aW1hZ2VzL2gxYS9oOGIvOTM4MzM5NTU1NzQwNi5qcGd8YjhhZmNjM2I2MzYzNDcyZjY0N2NlZTQ3ZDZkMGZmYjZmZjg3N2M3Mzk0M2E2YWI1ZmY4ZmFiODUyOTk3Yzc1Yw"
"1681670399-1892","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Camara CANON EOS 90D BODY","https://www.ktronix.com/camara-canon-eos-90d-body/p/013803316186","Camara CANON EOS 90D BODY","$5.999.000
                                            Hoy","Toma  de alta velocidad de hasta 10 fps sin retraso.","4.8","5 Opiniones","/medias/013803316186-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMjA1fGltYWdlL2pwZWd8aW1hZ2VzL2hkNy9oZGEvMTE3NDc5MzE2NTIxMjYuanBnfDA1MGRiNjEwZWRlMzk0Y2FkMWE4YzU0YTc5ZWMzYTRiM2EyNGQ3MTNhNTIzNzQxYTgzYWU2MDlkZDE5NjkxN2I"
"1681670404-1893","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Canon EOS R con lente 24-105mm f/4-7.1 IS STM","https://www.ktronix.com/camara-canon-eos-r-con-lente-24-105mm-f-4-71-is-stm/p/013803331929","Cámara Canon EOS R con lente 24-105mm f/4-7.1 IS STM","$10.999.000
                                            Hoy","Pensada para trabajar a la perfección con los lentes RF.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-013803331929-001.jpg?context=bWFzdGVyfGltYWdlc3wyODA5fGltYWdlL2pwZWd8aDQyL2hjMC8xMzYzNDY4NzQwMjAxNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzAxMzgwMzMzMTkyOV8wMDEuanBnfGNlYTQzOGM1MTA3ZDJjNGZlYjhkY2Y4NGE1ODM2YzFlYmJiNWFiMDg0NGI0ZTgwNDQ4MGU3YjhiM2QzMGE2ODM"
"1681670409-1894","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Canon EOS RP con lente 24-105mm f/4-7.1 IS STM","https://www.ktronix.com/camara-canon-eos-rp-con-lente-24-105mm-f-4-71-is-stm/p/013803331936","Cámara Canon EOS RP con lente 24-105mm f/4-7.1 IS STM","$7.999.000
                                            Hoy","Ideal para fotos nocturnas o en condiciones de poca luz.","5.0","3 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-013803331936-001.jpg?context=bWFzdGVyfGltYWdlc3wyNjcyfGltYWdlL2pwZWd8aDNmL2g2MS8xMzYzNDY4OTc2MTMxMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzAxMzgwMzMzMTkzNl8wMDEuanBnfDQ5MTgwNmM2YjgxZWY0Yzk1N2I1ZDZlMzZhMTY5NTM1ZjAwNzkxNTIyNzJiMzhlNzkzZmY4NmUxODBhMzM0Njg"
"1681670414-1895","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Sony Zv-1/Bc Uc2","https://www.ktronix.com/camara-sony-zv-1-bc-uc2/p/027242920552","Cámara Sony Zv-1/Bc Uc2","$4.179.900
                                            Hoy","Sensor de  1 pulgada  para  resultados profesionales","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-027242920552-001.jpg?context=bWFzdGVyfGltYWdlc3wyMjUwfGltYWdlL2pwZWd8aDUxL2gzZS8xMzUzNDYzMDU3NjE1OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzAyNzI0MjkyMDU1Ml8wMDEuanBnfDQ3OWZkNzUwZDk3YjE0ZjdjN2RiMjliYTg2ZGY5OGQwMGNkYzY3ZTZiNjc2ZTRjODAwOTcwMjkxNTE5MjJkYTg"
"1681670419-1896","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Instantánea FUJIFILM INSTAX® Square SQ1 Naranja","https://www.ktronix.com/camara-instantanea-fujifilm-instax-square-sq1-naranja/p/074101203417","Cámara Instantánea FUJIFILM INSTAX® Square SQ1 Naranja","$529.900
                                            Hoy","Fotos en Formatocuadrado","5.0","3 Opiniones","/medias/074101203417-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMTU3fGltYWdlL2pwZWd8aW1hZ2VzL2hkYi9oZTQvMTAwMzgwNDAxMDA4OTQuanBnfDNiZWExNDM3YTE4YWMzZmZlM2IxM2MyYjRhNjhmZGMyYTIyZjA3NWE4NWZhMmNjYTRiM2I5NzhmNTI1YjcxZWQ"
"1681670423-1897","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Instantánea FUJIFILM INSTAX® Square SQ1 Blanco","https://www.ktronix.com/camara-instantanea-fujifilm-instax-square-sq1-blanco/p/074101203431","Cámara Instantánea FUJIFILM INSTAX® Square SQ1 Blanco","$529.900
                                            Hoy","Fotos en Formatocuadrado","5.0","3 Opiniones","/medias/074101203431-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxOTQ2fGltYWdlL2pwZWd8aW1hZ2VzL2g2Mi9oYzkvMTAwMzgwNDI0NjAxOTAuanBnfDA5YmNiYWMwODJkNjViMmYyNzM0ZjMwZmJmNzcwNzgwYTUxZDRkYzFiNjc0NmFkN2Y1ZTYxNmU4YTkxYTUxMWY"
"1681670428-1898","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara fotográfica SONY Profesional Alpha ILCE-7M3K Negro","https://www.ktronix.com/camara-fotografica-sony-profesional-alpha-ilce-7m3k-negro/p/4548736079700","Cámara fotográfica SONY Profesional Alpha ILCE-7M3K Negro","$11.329.900
                                            Hoy","Sensor full-frame CMOS Exmor R de fotograma completo de 24MP","5.0","1 Opinión","/medias/4548736079700-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMTg2fGltYWdlL2pwZWd8aW1hZ2VzL2g5OC9oNTEvOTgwMTc4Njg4NDEyNi5qcGd8NTg5ZTdjYzNjY2FlYTZkODlhMjc4MjUwNDg0NWZmZDU2NThkNDllYTE4MTVkYTQzOWVmN2IzYjM2MzA2Yjk4Nw"
"1681670433-1899","https://www.ktronix.com/camaras/camaras-fotograficas/c/BI_126_KTRON","Cámara Fotográfica SONY ILCE-6400L/B Negro","https://www.ktronix.com/camara-fotografica-sony-ilce-6400l-b-negro/p/4548736092464","Cámara Fotográfica SONY ILCE-6400L/B Negro","$5.259.900
                                            Hoy","Sensor APSC-HD de 24 mm, fotos mas reales.","null","null","/medias/4548736092464-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNDUxfGltYWdlL2pwZWd8aW1hZ2VzL2hiZC9oYWIvOTYwMTI4NzA5NDMwMi5qcGd8YTU5Y2RmYzVjY2MwYmUzZTU4YmMzMzA3YmQ0ZjIwZDcxY2JlN2QyMTY4MGNmMTdhMzNlMDhhZTU4YTViYjllMw"
