web-scraper-order,web-scraper-start-url,paginacion,referencias,referencias-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681673261-2078","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone XS Max 64GB Gris","https://www.ktronix.com/iphone-xs-max-64gb-gris/p/190198783127","iPhone XS Max 64GB Gris","$3.186.000
                                            Hoy","Super Retina, grande y súper grande, precisión en cada color","4.9","39 Opiniones","/medias/190198783127-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxODQyMHxpbWFnZS9qcGVnfGltYWdlcy9oMzIvaDVhLzkwNjYyNDg5NjIwNzguanBnfDcxNzBhOTM4MzUxNTY2OWQ4OGEyMzlkNzQ0ZjM2ZWIwOTU4MGZlMDQyODRjNTBiMjQ5ZGJhNDkxZWIzMmY4Zjk"
"1681673265-2079","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone SE 256GB Rojo","https://www.ktronix.com/iphone-se-256gb-rojo/p/194252148396","iPhone SE 256GB Rojo","$3.099.000
                                            Hoy","Modo Retrato. Una razón más para sonreír.","null","null","/medias/194252148396-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzI2fGltYWdlL2pwZWd8aW1hZ2VzL2g3My9oZTAvMTEyNTIxODAxNTY0NDYuanBnfDExODg1MWQxZGQ5NzUxNTg1MGE4MTYwNGQyNTBhNTM4MjhlYzk2OGQyMGM0MTNlMDY5ZThlZDJhZmFiZDc4Mjg"
"1681673270-2080","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 13 mini 512GB Blanco Estrella","https://www.ktronix.com/iphone13mini-512gb-blanco-estrella/p/194252692561","iPhone 13 mini 512GB Blanco Estrella","$5.319.000
                                            Hoy","A15, Un chip superrápido que deja atrás a la competencia","3.0","2 Opiniones","/medias/194252692561-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzI4fGltYWdlL2pwZWd8aW1hZ2VzL2g0OC9oNTUvMTA3OTI2NDc0NTg4NDYuanBnfDE1Zjc5Yjk1OGEzZjJjZWRlMTNjMTA4MjMwZjNiNjk1ZDc1ODNlNGE4MzMwZTlmOTQxYjlhNjYwMDY2ZDk0MWU"
"1681673273-2081","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Pro Max 512 GB Plata","https://www.ktronix.com/iphone-14-pro-max-512gb-plata/p/194253486831","iPhone 14 Pro Max  512 GB Plata","$8.689.000
                                            Hoy","Cámara gran angular de 48MP","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253486831-001.jpg?context=bWFzdGVyfGltYWdlc3wzNjk0fGltYWdlL2pwZWd8aGI0L2g4Yy8xMzYxOTA5NDEyNjYyMi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4NjgzMV8wMDEuanBnfDM5MGU0YzRkNWEwNGE3MGJlYzdhNTk1OWZmZDFhZGJkMzhiYWFhZDljMDgxOTIyMTNlYzM0MWE1NGM2YmU1NDI"
"1681673278-2082","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Pro Max 1 TB Plata","https://www.ktronix.com/iphone-14-pro-max-1tb-plata/p/194253486879","iPhone 14 Pro Max 1 TB Plata","$9.929.000
                                            Hoy","Cámara gran angular de 48MP","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253486879-001.jpg?context=bWFzdGVyfGltYWdlc3wzNjk0fGltYWdlL2pwZWd8aGNhL2g1Ny8xMzYxOTExNTM2MDI4Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4Njg3OV8wMDEuanBnfGNiZGM5OWVlYzRhNjc4YmVmYzExNjZiZGY1YTkzZGRhNTdiYTZmM2QxMWE3YThiZDY2NzkwNjY3Y2JjNGU4MmY"
"1681673282-2083","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Pro Max 1 TB Morado Oscuro","https://www.ktronix.com/iphone-14-pro-max-1tb-morado-oscuro/p/194253486893","iPhone 14 Pro Max 1 TB Morado Oscuro","$9.929.000
                                            Hoy","Cámara gran angular de 48MP","5.0","2 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253486893-001.jpg?context=bWFzdGVyfGltYWdlc3wzOTQ0fGltYWdlL2pwZWd8aDE3L2gzMi8xMzYxOTE1ODc0NTExOC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4Njg5M18wMDEuanBnfGQwNDNhYTQ0ODEzNDdmNmRjZTQwMTMxYjBmNGNjZjlhZWRlNjcxNTRjM2FkMDAzNjNmZTE5YThkNjM5NzBkMGY"
"1681673286-2084","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Plus 128 GB Rojo","https://www.ktronix.com/iphone-14-plus-128gb-rojo/p/194253488101","iPhone 14 Plus 128 GB Rojo","$5.257.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488101-001.jpg?context=bWFzdGVyfGltYWdlc3w0MzY4fGltYWdlL2pwZWd8aDkzL2g0Mi8xMzYxOTE3OTk3ODc4Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODEwMV8wMDEuanBnfGI5MTY3MjEyM2MwY2Q0NzViOWYzNzAwMjBmMjAxMGQ3ZWUwMDA1YzZjNDIyYjE4YjZhNGRhNzM1ZmExNmUxZjA"
"1681673290-2085","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Plus 256 GB Azul Medianoche","https://www.ktronix.com/iphone-14-plus-256gb-azul-medianoche/p/194253488125","iPhone 14 Plus 256 GB Azul Medianoche","$5.863.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488125-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDY1fGltYWdlL2pwZWd8aDc3L2gxYy8xMzYxOTE5MDU5NTYxNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODEyNV8wMDEuanBnfGU5NzBkZTIxOGY3ZDI0NWM3ODUzNDY4MmY0YTFiY2Q2NzQ1NTk3YmIyNGU4ZjUwM2QzOWI2MWYzNzBjNDUwOTA"
"1681673294-2086","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Plus 256 GB Blanco Estrella","https://www.ktronix.com/iphone-14-plus-256gb-blanco-estrella/p/194253488132","iPhone 14 Plus 256 GB Blanco Estrella","$5.863.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488132-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDYxfGltYWdlL2pwZWd8aDFkL2gzYS8xMzYxOTE5NTkwNDAzMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODEzMl8wMDEuanBnfGEzODFiMDAxYjEwYjM3MzExNjVlMzQ5OWMzMjA3NWFhODFmMzQ0YzViYWE4YThiYzQ4Y2E0MjkzZTMyNWQxNGY"
"1681673298-2087","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Plus 256 GB Rojo","https://www.ktronix.com/iphone-14-plus-256gb-rojo/p/194253488156","iPhone 14 Plus 256 GB Rojo","$5.863.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488156-001.jpg?context=bWFzdGVyfGltYWdlc3w0MzY4fGltYWdlL2pwZWd8aDJiL2g3MS8xMzYxOTIwNjUyMDg2Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODE1Nl8wMDEuanBnfDFhMTgxMDVmM2RlYzUyMTgxZmFiOGQ5MzI2Y2JmMmU1MWQ5MzRjMDA1ZmIwMDgyM2FiZjMzMWRhNDQ4MzhkYzA"
