web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681680002-2418","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","MacBook Air 13"" Pulgadas MLY23E/A - Chip M2 - RAM 8GB - SSD 512GB - Blanco","https://www.ktronix.com/macbook-air-13-pulgadas-mly23e-a-chip-m2-ram-8gb-ssd-512gb-blanco/p/194253191032","","MacBook Air 13"" Pulgadas MLY23E/A - Chip M2 - RAM 8GB - SSD 512GB - Blanco","$9.299.000
                                            Hoy","Con Chip M2, 1,4 veces más rapido que el modelo con Chip M1","5.0","5 Opiniones","/medias/194253191032-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNzAwfGltYWdlL2pwZWd8aW1hZ2VzL2hjYy9oMDkvMTI3MjkzMjE0MjI4NzguanBnfDdhYmM3OTUzM2Q4NzRlYWYyMzE3M2VmZWNkODM5NDhkYWM0ODBlZjcyN2YwNDcxYmI3MjA3NWUxMjU5MGNjNzE"
"1681680009-2419","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","MacBook Pro 16"" pulgadas MNW83E/A - Chip M2 Pro - RAM 16GB - SSD 512GB - Gris","https://www.ktronix.com/macbook-pro16pulgadas-mnw83e-a-chip-m2-pro-ram-16gb-ssd-512gb-gris/p/194253296775","","MacBook Pro 16"" pulgadas MNW83E/A - Chip M2 Pro - RAM 16GB - SSD  512GB  - Gris","$15.999.000
                                            Hoy","Potencia con Chip M2 Pro: CPU 12 núcleos GPU 19 núcleos","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253296775-001.jpg?context=bWFzdGVyfGltYWdlc3wzNTQxfGltYWdlL2pwZWd8aDZhL2hmNy8xMzYzMTc0NzY1MzY2Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzI5Njc3NV8wMDEuanBnfDc5OTlhYWNmNmFhODM5MGM5NjkyMWNjZGNkN2U0MmZhOTdmMzYxNWRiNzFhYzBkZjJhODAzZGM1ODUzOWMzZGM"
"1681680013-2420","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","MacBook Pro 16"" pulgadas MNW93E/A - Chip M2 Pro - RAM 16GB - SSD 1 TB - Gris","https://www.ktronix.com/macbook-pro-16pulgadas-mnw93e-a-chip-m2-pro-ram-16gb-ssd-1tb-gris/p/194253297215","","MacBook Pro 16"" pulgadas MNW93E/A - Chip M2 Pro - RAM 16GB - SSD 1 TB - Gris","$17.199.000
                                            Hoy","Potenica con Chip M2 Pro: CPU 12 núcleos GPU 19 núcleos","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253297215-001.jpg?context=bWFzdGVyfGltYWdlc3wzNTQxfGltYWdlL2pwZWd8aDc5L2gzZi8xMzYzMTc1Mjk2MjA3OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzI5NzIxNV8wMDEuanBnfDE4MWFmMTllMzUyZWQzMTUxMTllNDA0Zjc2ZGEzMTc2MThkZmEzZWVjYjY3MzQyM2Y0MDczNzZiYjE3MTAxNGU"
"1681680017-2421","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","MacBook Pro 14"" pulgadas MPHF3E/A - Chip M2 Pro - RAM 16GB - SDD 1 TB - Gris","https://www.ktronix.com/macbook-pro-14pulgadas-mphf3e-a-chip-m2-pro-ram-16gb-sdd-1tb-gris/p/194253318323","","MacBook Pro 14"" pulgadas MPHF3E/A - Chip M2 Pro - RAM 16GB - SDD 1 TB - Gris","$16.579.000
                                            Hoy","Potencia con Chip M2 Pro: CPU 12 núcleos GPU 19 núcleos","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253318323-001.jpg?context=bWFzdGVyfGltYWdlc3wyOTQ1fGltYWdlL2pwZWd8aDE4L2hmOC8xMzYzMTc2ODg4NzMyNi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzMxODMyM18wMDEuanBnfGMwMThlYWM5NTcxNjY3NDQzZmE0NDljYTEzOWIzMTJhZjVlY2Q3NjU4MTc5MjI3ODRiMWRiMmQ4MGYxMmQ0ODY"
"1681680024-2422","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer LENOVO 15,6"" Pulgadas Legion 5 - AMD Ryzen 7 - RAM 16GB - Disco SSD 512GB - Azul","https://www.ktronix.com/computador-portatil-gamer-lenovo-156-pulgadas-legion-5-amd-ryzen-7-ram-16gb-disco-ssd-512gb-azul/p/195890456676","","Computador Portátil Gamer LENOVO 15,6"" Pulgadas Legion 5 - AMD Ryzen 7 - RAM 16GB - Disco SSD 512GB - Azul","$6.999.000
                                            Hoy","Tarjeta grafica independiente, potencia tareas graficas","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-195890456676-001.jpg?context=bWFzdGVyfGltYWdlc3wzMTkzfGltYWdlL2pwZWd8aDJjL2gxNS8xMzY0OTIxNDUzNzc1OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NTg5MDQ1NjY3Nl8wMDEuanBnfDJlMWMyYTBlMmU0MDg0MjM1NjBjN2U5YmFlODZlODRjOTAwYmUwMDJkOWMyZjJmNDNjNDBlMDFhNGQxMGQ3ZTA"
"1681680030-2423","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer OMEN HP 16,1"" Pulgadas c0501la-AMD Ryzen 5 - RAM 8GB- Disco SSD 512 GB - Plateado Mica","https://www.ktronix.com/computador-portatil-gamer-omen-hp-161-pulgadas-c0501la-amd-ryzen-5-ram-8gb-disco-ssd-512-gb-plateado-mica/p/196068436650","","Computador Portátil Gamer OMEN HP 16,1"" Pulgadas c0501la-AMD Ryzen 5 - RAM 8GB- Disco SSD 512 GB - Plateado Mica","$4.299.000
                                            Hoy","Incluye poderoso Mouse OMEN Vector Essential","5.0","3 Opiniones","/medias/196068436650-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzM5fGltYWdlL2pwZWd8aW1hZ2VzL2hlYy9oNDIvMTE1NDU2MTc0NjUzNzQuanBnfDNjNmZlMzhmNjNjNGM4M2E2NjVhMjFkMTc4MmZkZTc2YzJiYWNjNjA0M2NhYmMyNjYzNjBmNzhmMDFiYWU3M2U"
"1681680035-2424","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer OMEN 16.1"" Pulgadas b0506la - Intel Core i7 - RAM 8GB- Disco SSD 512 GB - Negro Sombra","https://www.ktronix.com/computador-portatil-gamer-omen-161-pulgadas-b0506la-intel-core-i7-ram-8gb-disco-ssd-512-gb-negro-sombra/p/196068572150","","Computador Portátil Gamer OMEN 16.1"" Pulgadas b0506la - Intel Core i7 - RAM 8GB- Disco SSD 512 GB - Negro Sombra","$6.199.000
                                            Hoy","Acelerador de sistema inteligente Intel® Optane™ de 32 GB","5.0","1 Opinión","/medias/196068572150-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzNDUzfGltYWdlL2pwZWd8aW1hZ2VzL2gyMS9oNGYvMTE2MjY5NjM3MzA0NjIuanBnfGVhMjBhZGI1ZjFkOGViZWZiY2I3ODJiZjE4OTNiNjliNzlkMjkwOTRkNzhhY2M0ZDU0YjFmODZhMDhlNTI4ZGU"
"1681680039-2425","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - Intel Core i3 - RAM 8GB - Disco SSD 256GB - Azul","https://www.ktronix.com/computador-portatil-lenovo-14-pulgadas-ideapad-3-intel-core-i3-ram-8gb-disco-ssd-256gb-azul/p/196378007380","","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - Intel Core i3 - RAM 8GB - Disco SSD 256GB - Azul","$1.699.000
                                            Hoy","1,5kg de peso, no sentirás que lo llevas","2.5","2 Opiniones","/medias/196378007380-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w0ODExfGltYWdlL2pwZWd8aGM3L2g4Zi8xMzM2NTkyNzMxMzQzOC8xOTYzNzgwMDczODBfMDAxXzYwV3g2MEh8ZGU4MDg1Mjk0MmNhZGVkYmFiYmI3MGY5ZDU3YTAxZjljYWEyZmRmMjVhZGFmMzlkMDk3ZTQyZDdlMTQ3NGQxNw"
"1681680044-2426","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil HP Pavilion 14"" Pulgadas dv2007la - Intel Core i7 - RAM 8GB - Disco SSD 512 GB - Plateado","https://www.ktronix.com/computador-portatil-hp-pavilion-14-pulgadas-dv2007la-intel-core-i7-ram-8gb-disco-ssd-512-gb-plateado/p/196786172915","","Computador Portátil HP Pavilion 14"" Pulgadas dv2007la - Intel Core i7 - RAM 8GB - Disco SSD 512 GB - Plateado","$4.499.000
                                            Hoy","Incluye Morral HP 15 Renew Travel","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196786172915-001.jpg?context=bWFzdGVyfGltYWdlc3wzMDIyfGltYWdlL2pwZWd8aDBhL2g4ZC8xMzY3MDM3MDExNTYxNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5Njc4NjE3MjkxNV8wMDEuanBnfGY1MmQzNDFhNjQ2MTg4NTZlNWU4MmQ5ODRlMDllYWQ4ZGE5OWNmMmEyYzNlMGY3NDYzOTllNGU2MmQyMWFjYTc"
"1681680048-2427","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - AMD Ryzen 5 - RAM 8GB - Disco SSD 256GB - AZUL","https://www.ktronix.com/computador-portatil-lenovo-14-pulgadas-ideapad-3-amd-ryzen-5-ram-8gb-disco-ssd-256gb-azul/p/196802802055","","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - AMD Ryzen 5 - RAM 8GB - Disco SSD 256GB - AZUL","$2.099.000
                                            Hoy","Película antirreflejo trabaja en cualquier condición de luz.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196802802055-001.jpg?context=bWFzdGVyfGltYWdlc3wzMTY0fGltYWdlL2pwZWd8aGU3L2gzMy8xMzc0NTU1MTMxMDg3OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjgwMjgwMjA1NV8wMDEuanBnfDQ4ZmZlZDc3OWNiYzNkMGIwZDFiMjBhMTc1NjAxZDAzMTk5NjM0YjYwNDM4YzE2YWY2MGIxOTg3OWQ3Yjk3N2E"
