web-scraper-order,web-scraper-start-url,paginacion,referencias,referencias-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681684268-2883","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 25KG 8MWTW2640WJB Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-25kg-8mwtw2640wjb-blanco/p/7501545587443","Lavadora WHIRLPOOL Carga Superior 25KG 8MWTW2640WJB Blanco","$3.249.900
                                            Hoy","Conectividad Wi-Fi compatible con iOS y Android","4.2","20 Opiniones","/medias/7501545587443-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzA4fGltYWdlL2pwZWd8aW1hZ2VzL2g0Ny9oMjUvMTA3Nzc1NjUwMDM4MDYuanBnfGQ3M2I5MTA0ZDBhZDUyYjNiNGQ5OWNhMTQ0ZTY3YmQwNzkyMTYyN2RkYWUyZDhhZmZkZWNmMjdjM2Q0MmQxNDc"
"1681684272-2884","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 25 Kilogramos 8MWTW2640WJC Gris","https://www.ktronix.com/lavadora-whirlpool-carga-superior-25-kilogramos-8mwtw2640wjc-gris/p/7501545587450","Lavadora WHIRLPOOL Carga Superior 25 Kilogramos 8MWTW2640WJC Gris","$3.449.900
                                            Hoy","Conectividad Wi-Fi compatible con iOS y Android","4.2","20 Opiniones","/medias/7501545587450-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNTE5fGltYWdlL2pwZWd8aW1hZ2VzL2hkMy9oMDEvMTA3Nzc1NzAzMTIyMjIuanBnfDY0MmViZDU0YWVhMjZlYmU2OTk0MzVmODJhNjFkYzI3ODA2NjA2NWM2NmZiMTlmMTkwZTI1ZTFkY2ExZjYzMDE"
"1681684278-2885","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 19KG 8MWTW1934MJM Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-19kg-8mwtw1934mjm-blanco/p/7501545634123","Lavadora WHIRLPOOL Carga Superior 19KG 8MWTW1934MJM Blanco","$2.629.900
                                            Hoy","Xpert System, mayor remoción de manchas","4.4","27 Opiniones","/medias/7501545634123-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNDc2fGltYWdlL2pwZWd8aW1hZ2VzL2hiNC9oYTYvMTAzNzA0NzY4MDIwNzguanBnfGQ2YmQ0OWEwMDY4NmZmNWUyZTRiOTlhZWFjNzFhNTM1MWE5YTJjZjEyY2I0YjVmMjczMDZkYTY3Y2YzMzhjYzQ"
"1681684281-2886","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 19KG 8MWTW1934WJM Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-19kg-8mwtw1934wjm-blanco/p/7501545634130","Lavadora WHIRLPOOL Carga Superior 19KG 8MWTW1934WJM Blanco","$2.639.900
                                            Hoy","Xpert System, mayor remoción de manchas","4.6","20 Opiniones","/medias/7501545634130-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNDg4fGltYWdlL2pwZWd8aW1hZ2VzL2gyOC9oNzkvMTAzNzA0NzAzMTQwMTQuanBnfDY4MTM4NThiZjI5MGFlZTYyNjY5ZmUyODgxNGZlNGMzZWQxYWU3NjQ3NjFlYWI2MDUxN2VlOWY5NDAyNjM5OGY"
"1681684287-2887","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 20KG 8MWTW2041WJM Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-20kg-8mwtw2041wjm-blanco/p/7501545634239","Lavadora WHIRLPOOL Carga Superior 20KG 8MWTW2041WJM Blanco","$2.499.900
                                            Hoy","AutoLevel: mide tamaño de carga y determina nivel de agua.","5.0","3 Opiniones","/medias/7501545634239-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMDYyfGltYWdlL2pwZWd8aW1hZ2VzL2g5Zi9oMzYvMTIzNDQ3ODgxMjM2NzguanBnfDVmZmI5MjVmMTYyNmU3ZjE0NjI5YWRmNGMyYmRkMDY2MzVjZTk4NDE4OTg2MWU1NWJiNDZjOGYyMDllOTIzMDA"
"1681684291-2888","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 22KG 8MWTW2241WJB Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-22kg-8mwtw2241wjb-blanco/p/7501545634260","Lavadora WHIRLPOOL Carga Superior 22KG 8MWTW2241WJB Blanco","$2.619.900
                                            Hoy","Xpert System, mayor remoción de manchas","3.7","7 Opiniones","/medias/7501545634260-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjA1fGltYWdlL2pwZWd8aW1hZ2VzL2g3Yy9oNDkvMTA4NTU2Mzg4MjcwMzguanBnfDM0ODJmNmZlZWIyNWViMzIwMmQwNTBjOWQ3YTRlMjMyNGYwOTE0ZGZiMTAwZmI5MjZiZDBiNDNhZjUwMGYzZDA"
"1681684295-2889","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora MABE Carga Superior 19 Kg LMA79104WGAB1 Gris","https://www.ktronix.com/lavadora-mabe-carga-superior-19-kg-lma79104wgab1-gris/p/757638360678","Lavadora MABE Carga Superior 19 Kg LMA79104WGAB1 Gris","$2.599.900
                                            Hoy","Seguridad de tu familia , ahora con la tapa soft close","4.2","4 Opiniones","/medias/757638360678-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzIwfGltYWdlL2pwZWd8aW1hZ2VzL2g4My9oZTcvOTgyOTkzNzI1MDMzNC5qcGd8ZDhjYWQ1YjFjOTJiZTBiNGFjMGZkMzg3YjVkYThmNjc1MDcxZmFmNmQ0MWI3ZWZiNmMxODIyOWExODNiY2VkMA"
"1681684300-2890","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Centro de lavado MABE Carga Superior 20 Kilogramos MCLC2040GSBB0 Blanco","https://www.ktronix.com/centro-lavado-mabe-carga-superior-20-kilogramos-mclc2040gsbb0-blanco/p/757638361286","Centro de lavado MABE Carga Superior 20 Kilogramos MCLC2040GSBB0 Blanco","$5.899.900
                                            Hoy","Eficiencia, producto clasificación tipo A","4.8","37 Opiniones","/medias/757638361286-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMDcyfGltYWdlL2pwZWd8aW1hZ2VzL2gxMy9oYTAvMTA1MDIwNDgyNTE5MzQuanBnfDA4OTMzNmJlMTZlZDYwZDVjOTJkZDAzYWJlNGJiYTc3MWEwOGQ2MGE0MDU0MWYwYWNhNzAwZDYyNGYyMTY0NGM"
"1681684306-2891","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Centro de lavado MABE Carga Superior 20 Kilogramos MCLC2040PSDG0 Diamond Gray","https://www.ktronix.com/centro-lavado-mabe-carga-superior-20-kilogramos-mclc2040psdg0-diamond-gray/p/757638361316","Centro de lavado MABE Carga Superior 20 Kilogramos MCLC2040PSDG0 Diamond Gray","$5.999.900
                                            Hoy","Eficiencia, producto clasificación tipo A","4.8","37 Opiniones","/medias/757638361316-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzk3fGltYWdlL2pwZWd8aW1hZ2VzL2g1OC9oNGMvMTA1MDIwNTE3OTA4NzguanBnfDk2MjhkOTQyYjEyMGI3ODA5NDQxNGVkODcyMzc4NDhkNWI0NDAzYjM1OTEyOTg2NmEzMDQ3MWQ3MzllNDA2OWE"
"1681684312-2892","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora MABE Carga Superior 25 Kilogramos LMC75201WDAB0 Negro","https://www.ktronix.com/lavadora-mabe-carga-superior-25-kilogramos-lmc75201wdab0-negro/p/757638389495","Lavadora MABE Carga Superior 25 Kilogramos LMC75201WDAB0 Negro","$2.999.900
                                            Hoy","Ciclo de sanitizado. Elimina el 99% de bacterias.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-757638389495-001.jpg?context=bWFzdGVyfGltYWdlc3wxMzcxfGltYWdlL2pwZWd8aDhmL2hiYi8xMzUxNjE0MTk1MzA1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc1NzYzODM4OTQ5NV8wMDEuanBnfGRmN2YwZjM2M2IxOTU5N2JlMmRiZTcyM2FkNDRlMjFkNjFlOTI4M2ZkZWMyNzI3MWM2NDA3ODY4NTVhOGJjMGU"
