web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681681063-2562","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Mini Refrigerador VANITY PLANET Skincare 4 Litros Rosado","https://www.ktronix.com/mini-refrigerador-vanity-planet-skincare-4-litros-rosado/p/740275053836","","Mini Refrigerador VANITY PLANET Skincare 4 Litros Rosado","$359.900
                                            Hoy","Ideal para guardar tus rodillos faciales, mascarillas y otros productos que necesitan temperaturas frías","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-740275053836-001.jpg?context=bWFzdGVyfGltYWdlc3wyNzEwfGltYWdlL2pwZWd8aGE0L2gyZS8xMzYzNzkwNDE3MTAzOC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc0MDI3NTA1MzgzNl8wMDEuanBnfDJmMjRkNzEzYTJlYmRjNjY5MTk1YzkxZTJlZmI1YTgwYmJlNTUzYWZhNDEwMGM2ODlkNDc2MTUzOTAzZmRjZGM"
"1681681068-2563","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Congelador Horizontal WHIRLPOOL Dual 307L","https://www.ktronix.com/congelador-horizontal-whirlpool-dual-307l/p/7501545589454","","Congelador Horizontal WHIRLPOOL Dual 307L","$2.419.900
                                            Hoy","Interior Metalico","5.0","1 Opinión","/medias/7501545589454-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMTUyfGltYWdlL2pwZWd8aW1hZ2VzL2gyYy9oNzMvMTIzNDQ3Njg1Mjg0MTQuanBnfDU5MTU2ZmQ4Njk2ZmMxMTAwMDlhMGU2ZDUzMzdkMmM2Yjc2OGY2MTQwNjJlY2FkNGFmNzA5ZDMyYzVhNjIyZDQ"
"1681681073-2564","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Congelador Horizontal WHIRLPOOL Dual 198 Litros WCF2107Q Blanco","https://www.ktronix.com/congelador-horizontal-whirlpool-dual-198-litros-wcf2107q-blanco/p/7501545589461","","Congelador Horizontal WHIRLPOOL Dual 198 Litros WCF2107Q Blanco","$1.639.900
                                            Hoy","Interior Metalico","5.0","2 Opiniones","/medias/7501545589461-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjYzfGltYWdlL2pwZWd8aW1hZ2VzL2hkNC9oY2UvMTIzNDQ3NzMyNDcwMDYuanBnfGY2NjQyYTBkNTkwMTZhY2E2MGI1ZjBlNDM1MTY5ZjdlM2YzZDhiMzE3NGIxY2E0ZWM3NDM2YTdhNWI2ZDc5Yjg"
"1681681078-2565","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Minibar MABE Frost 93 Litros Brutos RMF04BRX0 Inox","https://www.ktronix.com/minibar-mabe-frost-93-litros-brutos-rmf04brx0-inox/p/757638356077","","Minibar MABE Frost 93 Litros Brutos RMF04BRX0 Inox","$999.900
                                            Hoy","La solución perfecta en casa, hotel u oficina","4.3","3 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-757638356077-001.jpg?context=bWFzdGVyfGltYWdlc3wxMjgxfGltYWdlL2pwZWd8aDA1L2gzNS8xMzY0MjA1MTIyMzU4Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc1NzYzODM1NjA3N18wMDEuanBnfGRkYTg1OWY2OWU0MmVkMzc5ZWZhNDY4NzhkYWZhYTBjYmMyOGRiMzA4Yzc0MDY1MzE4NDE0OTQyMTA3ZTE3NmQ"
"1681681083-2566","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost Congelador Superior 398 Litros RMS398IBBQP0 Black Steel","https://www.ktronix.com/nevera-mabe-no-frost-congelador-superior-398-litros-rms398ibbqp0-black-steel/p/757638368599","","Nevera MABE No Frost Congelador Superior 398 Litros RMS398IBBQP0 Black Steel","$3.699.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saver","4.3","18 Opiniones","/medias/757638368599-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzUxfGltYWdlL2pwZWd8aW1hZ2VzL2hmNC9oYTUvMTIwMjY4OTM3OTUzNTguanBnfDUwMjhmZjYxNTJhM2NmNDE5ZWYwNGFjMjZhM2E3YTA3NGYxMTNhMTlhYjMyOGNkMjM4MzU5YTc3OGU4NjdhODI"
"1681681088-2567","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost Congelador Superior 513 Litros RMS510IBBQX0 Inox","https://www.ktronix.com/nevera-mabe-no-frost-congelador-superior-513-litros-rms510ibbqx0-inox/p/757638368605","","Nevera MABE No Frost Congelador Superior 513 Litros RMS510IBBQX0 Inox","$3.899.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saber","4.8","21 Opiniones","/medias/757638368605-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjYzfGltYWdlL2pwZWd8aW1hZ2VzL2g3ZS9oYTMvMTA5MTgzOTM5MDUxODIuanBnfGIwNmU2M2EwMmJjZTQzYzYwNmFlZjFmOGE2MGU5NjdiZTA4MzliN2ZhNTljOTY4MGJjNzMwYzNlNDg0N2YzYTY"
"1681681094-2568","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost 513 Litros RMS510IBBQP0 Black Steel","https://www.ktronix.com/nevera-mabe-no-frost-513-litros-rms510ibbqp0-black-steel/p/757638368612","","Nevera MABE No Frost 513 Litros RMS510IBBQP0 Black Steel","$3.989.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saver","5.0","7 Opiniones","/medias/757638368612-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNDg0fGltYWdlL2pwZWd8aW1hZ2VzL2gzMC9oMTcvMTE1NDA0NTI2NzE1MTguanBnfGRhZTM0NjIzOTkyNWY2N2MxNmMwYmE5ZWFmZGNlNDIzOTg2YWNhMjZkNjlhYTk2NjUxYmUwY2I3YWU3MGViZGY"
"1681681098-2569","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost Congelador Inferior 520 Litros RMB520IWBQP0 Black Steel","https://www.ktronix.com/nevera-mabe-no-frost-congelador-inferior-520-litros-rmb520iwbqp0-black-steel/p/757638368629","","Nevera MABE No Frost Congelador Inferior 520 Litros RMB520IWBQP0 Black Steel","$5.404.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saber","4.8","26 Opiniones","/medias/757638368629-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjQ4fGltYWdlL2pwZWd8aW1hZ2VzL2g3ZS9oMmYvMTA5MTgzOTkyMTM1OTguanBnfDA0ZGU1NWFmOTQ1ZGUxZDNjZjVkNWUxMGZkMmJlMjFhZTEyNmIyYjAyMTNjZTRjYjQ3ZjJhNTBmMjMxYTEyYjU"
"1681681103-2570","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón GE Side by Side 617 Litros Brutos PQL22LEKFSS Inox","https://www.ktronix.com/nevecon-ge-side-by-side-617-litros-brutos-pql22lekfss-inox/p/757638368643","","Nevecón GE Side by Side 617 Litros Brutos PQL22LEKFSS Inox","$6.239.900
                                            Hoy","Display Digital. Controla fácilmente todas las funciones del refrigerador en un simple click. Controla fácilmente todas las funciones del refrigerador en un simple click: Control de temperatura, Alarma y Bloqueo de panel.","4.9","10 Opiniones","/medias/757638368643-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzgxfGltYWdlL2pwZWd8aW1hZ2VzL2hjMS9oMzEvMTE1Nzk5MTM2MDEwNTQuanBnfDU2ZGZiZmFiZDMzOWIxMzc3MTEyM2I5NTUwNjc3NmM2OWE1MzkxMjMzMzMyNDMyODlhY2M4Mjk0MGIxYTkzZTI"
"1681681109-2571","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón GE Side by Side 711 Litros Brutos PQL26PGKCSS Inox","https://www.ktronix.com/nevecon-ge-side-by-side-711-litros-brutos-pql26pgkcss-inox/p/757638368667","","Nevecón GE Side by Side 711 Litros Brutos PQL26PGKCSS Inox","$7.489.900
                                            Hoy","Display Digital. Controla fácilmente todas las funciones del refrigerador en un simple click. Controla fácilmente todas las funciones del refrigerador en un simple click: Control de temperatura, Alarma y Bloqueo de panel.","5.0","2 Opiniones","/medias/757638368667-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzc2fGltYWdlL2pwZWd8aW1hZ2VzL2g4NS9oYmMvMTE1MDQ2NTQ3NzgzOTguanBnfDA3NzUxMDRkZTgyNzgxOWY3ZGNiZmI5YTc5NmRiMTNiMGU1MzJlNDMwMjg3NDM3NDdmMWE2YzBkODg2MWMzMjg"
