web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681682265-2749","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SONY 75"" Pulgadas 189 cm KD-75X80J 4K-UHD LED Smart TV Google","https://www.ktronix.com/tv-sony-75-pulgadas-189-cm-kd-75x80j-4k-uhd-led-smart-tv-google/p/4548736127715","","TV SONY 75"" Pulgadas 189 cm KD-75X80J 4K-UHD LED Smart TV Google","$5.999.900
                                            Hoy","Google TV , + 7000 apps de entretenimiento en un solo lugar","5.0","4 Opiniones","/medias/4548736127715-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyOTc2fGltYWdlL2pwZWd8aW1hZ2VzL2g4Mi9oYWQvMTE0MDE1Mjg1NDEyMTQuanBnfDgwMTQ0MTk3MTQzMGNjYWFlOTIwNzEwYzUyZDYxOGViNTFlMmUyNDEyOTYwMWM5M2Q5YTRkNTg1NmNiZDgyNDE"
"1681682270-2750","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV TCL 65"" Pulgadas 164 cm 65C935 4K-UHD MINI LED Smart TV Google","https://www.ktronix.com/tv-tcl-65-pulgadas-164-cm-65c935-4k-uhd-mini-led-smart-tv-google/p/6921732806323","","TV TCL 65"" Pulgadas 164 cm 65C935 4K-UHD MINI LED Smart TV Google","$6.499.900
                                            Hoy","Maximiza la calidad de tu contenido con su pantalla MiniLED","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6921732806323-001.jpg?context=bWFzdGVyfGltYWdlc3w0OTkwfGltYWdlL2pwZWd8aDUzL2g5MC8xMzYzMjIwNjczMzM0Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MjE3MzI4MDYzMjNfMDAxLmpwZ3wyNmRhMGEzNDZmMDE3MTgxNjU5YWEyYjU5NzIyYzJmNDE1NGRlNTRiN2FmMTk4ZjE4YTBjYTA1OTg4MTdiNjRi"
"1681682274-2751","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV TCL 75"" Pulgadas 190 cm 75C935 4K-UHD MINI LED Smart TV Google","https://www.ktronix.com/tv-tcl-75-pulgadas-190-cm-75c935-4k-uhd-mini-led-smart-tv-google/p/6921732806330","","TV TCL 75"" Pulgadas 190 cm 75C935 4K-UHD MINI LED Smart TV Google","$8.999.900
                                            Hoy","Maximiza la calidad de tu contenido con su pantalla MiniLED","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6921732806330-001.jpg?context=bWFzdGVyfGltYWdlc3wzMjg4fGltYWdlL2pwZWd8aDczL2g4MC8xMzYzMjIxMjA0MTc1OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MjE3MzI4MDYzMzBfMDAxLmpwZ3xkZmYwMDY1YWY0YzZkMmYxY2M5ZTM1YzZlYTkwNjU4NjIxZDI1NzllOTMxY2M4OWY1YTM3NmUyZGUwOTRkMTkx"
"1681682279-2752","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV KALLEY 75 Pulgadas 190 cm ATV75UHDSQV 4K-UHD QLED Smart TV Android","https://www.ktronix.com/tv-kalley-75-pulgadas-190-cm-atv75uhdsqv-4k-uhd-qled-smart-tv-android/p/7705946476324","","TV KALLEY 75 Pulgadas 190 cm ATV75UHDSQV 4K-UHD QLED Smart TV Android","$3.649.900
                                            Hoy","Colores increíbles con la tecnología QLED y Dolby Vision","5.0","6 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-7705946476324-001.jpg?context=bWFzdGVyfGltYWdlc3wzMTcxfGltYWdlL2pwZWd8aGZjL2gyNi8xMzY4NjkxMjcxMjczNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc3MDU5NDY0NzYzMjRfMDAxLmpwZ3wzMzU1ZDg0MDhmNzUxZWNlZWI1NGVkYzRjNTIyOGRlNjViYmQ5MmU1YjZkYjM2YWY2YmRkNDE3M2M5MDVmZjli"
"1681682284-2753","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV KALLEY 55 Pulgadas 139 cm K-ATV55UHDQW 4K-UHD QLED Smart TV Android","https://www.ktronix.com/tv-kalley-55-pulgadas-139-cm-k-atv55uhdqw-4k-uhd-qled-smart-tv-android/p/7705946477154","","TV KALLEY 55 Pulgadas 139 cm K-ATV55UHDQW 4K-UHD QLED Smart TV Android","$1.799.900
                                            Hoy","Sistema Android TV: última versión 11, el más completo.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-7705946477154-001.jpg?context=bWFzdGVyfGltYWdlc3wzMjE2fGltYWdlL2pwZWd8aDhhL2hjMi8xMzc0NTExNDk3MjE5MC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc3MDU5NDY0NzcxNTRfMDAxLmpwZ3w0ZDZhMzJhOTcwYzk0ZWEwOTMyMjNjYjc0ZjExMzExZDM0OTYzYzMzZmExM2Q4MTRlZmNjYThmZThhZDY5Yzk0"
"1681682289-2754","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV HYUNDAI 55""Pulgadas 139.7 cm HYLED5524G4KM 4K-UHD LED Smart TV Google","https://www.ktronix.com/tv-hyundai-55pulgadas-1397-cm-hyled5524g4km-4k-uhd-led-smart-tv-google/p/7707138009846","","TV HYUNDAI 55""Pulgadas 139.7 cm HYLED5524G4KM 4K-UHD LED Smart TV Google","$1.839.900
                                            Hoy","Chromecast incluído para compartir contenido","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-7707138009846-001.jpg?context=bWFzdGVyfGltYWdlc3w2MDgwfGltYWdlL2pwZWd8aDQ4L2g0YS8xMzc1MjM0MDQ4MDAzMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc3MDcxMzgwMDk4NDZfMDAxLmpwZ3w5MTRhNDQ1YWJiNTQ2OTJkZmVkNzEwNWZjMmVjNTQ0NWQyODI3NjJkYTQzMmExMTkwZDc3ZTFjNzcwMzc2ZTBj"
"1681682293-2755","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV HYUNDAI 50""Pulgadas 127 cm HYLED5020G4KM 4K-UHD LED Smart TV Google","https://www.ktronix.com/tv-hyundai-50pulgadas-127-cm-hyled5020g4km-4k-uhd-led-smart-tv-google/p/7707138053986","","TV HYUNDAI 50""Pulgadas 127 cm HYLED5020G4KM 4K-UHD LED Smart TV Google","$1.549.900
                                            Hoy","Chromecast incluído para compartir contenido","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-7707138053986-001.jpg?context=bWFzdGVyfGltYWdlc3w1NTIyfGltYWdlL2pwZWd8aGMxL2hlMS8xMzc1MjM1MTA5Njg2Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc3MDcxMzgwNTM5ODZfMDAxLmpwZ3xjMDc4NWM1MTk0MGRkNzI3YTczY2EyYzkxNDJlNzc5N2UyMjViMDI1ZGVhOGU4ZDc1YTAyNTI2NjY5YTc2NmZi"
"1681682308-2756","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV LG 75"" Pulgadas 189 cm 75QNED90SPA 4K-UHD MINI LED Smart TV","https://www.ktronix.com/tv-lg-75-pulgadas-189-cm-75qned90spa-4k-uhd-mini-led-smart-tv/p/8806091412751","","TV LG 75"" Pulgadas 189 cm 75QNED90SPA 4K-UHD MINI LED Smart TV","$9.999.900
                                            Hoy","NanoCell más Quantum Dot logra colores impresionantes","5.0","1 Opinión","/medias/8806091412751-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzg1fGltYWdlL2pwZWd8aW1hZ2VzL2g2Mi9oZTAvMTA4MDY2NjIwMzc1MzQuanBnfDJjZTQ0NzAyODkzMTIyNTJhMzkzNGIxZWIxNDU0ZDYwMTQ2NzBmZTEwYmFiMWIzYmU0MDAzOTFmZmMyOWFjMTU"
"1681682322-2757","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV LG 75"" Pulgadas 189 cm 75QNED99SPA 8K MINI LED Smart TV","https://www.ktronix.com/tv-lg-75-pulgadas-189-cm-75qned99spa-8k-mini-led-smart-tv/p/8806091493439","","TV LG 75"" Pulgadas 189 cm 75QNED99SPA 8K MINI LED Smart TV","$15.999.900
                                            Hoy","NanoCell más Quantum Dot logra colores impresionantes","5.0","1 Opinión","/medias/8806091493439-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNDk5fGltYWdlL2pwZWd8aW1hZ2VzL2gxYy9oYWUvMTA4MDY2ODM0MDIyNzAuanBnfDZiMmVhYzU5YThkN2E5OTc4MmQxZWRhNjZiOTU5ODczMjUyMTE3NmQyZmM5NGRkMjhkYmRlMmVmYzQ2MmI2NGI"
"1681682327-2758","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV LG 77"" Pulgadas 195 Cm OLED77Z2PSA 8K OLED Smart TV","https://www.ktronix.com/tv-lg-77-pulgadas-195-cm-oled77z2psa-8k-oled-smart-tv/p/8806091669995","","TV LG 77"" Pulgadas 195 Cm OLED77Z2PSA 8K OLED Smart TV","$39.999.900
                                            Hoy","OLED realismo y diseño único por su tecnología de pixeles","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806091669995-001.jpg?context=bWFzdGVyfGltYWdlc3wzNjkxfGltYWdlL2pwZWd8aGM3L2g2Mi8xMzczMzcwNDg5MjQ0Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTE2Njk5OTVfMDAxLmpwZ3w0ZjY1YzMyODU4YTc5ZDM3YzJiYzNkMjhkYTQyOGFiMGM0MGJlYjZjYjU0NTQ5YjBlMTVhYTU5NGMxMTUyMjk5"
